Id,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,Afghanistan,1011,1202,1759,1252,2137,4749,3417,1753,2813,3165,2017,1648,1617,2196,10527,8328,12513
ALB,Albania,4755,4358,3765,3362,3840,5947,7914,5737,5754,5137,4711,3612,3364,3186,3828,4653,5773
DZA,Algeria,906,875,1030,759,805,1115,1300,1036,1037,1485,1305,1364,1369,1241,1669,1775,2180
AND,Andorra,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,5,5
AGO,Angola,87,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198
ATG,Antigua and Barbuda,429,461,380,301,414,440,570,415,444,437,359,368,337,344,369,290,324
ARG,Argentina,2317,3297,3661,3129,4805,7081,7327,5645,5353,5780,4399,4473,4359,4372,3874,3730,4091
ARM,Armenia,1253,1762,1800,1287,1833,2591,6317,4351,3586,3442,2979,2983,2681,2722,2913,2962,3543
AUS,Australia,2044,2811,2557,1836,2604,3193,3249,2518,2464,2622,2512,2343,2414,2759,2809,3034,3239
AUT,Austria,405,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432
AZE,Azerbaijan,1036,1152,1164,746,969,1523,2371,1166,1071,834,781,728,663,637,672,676,784
BHS,Bahamas,766,924,808,423,586,698,847,738,682,751,652,668,619,630,654,725,656
BHR,Bahrain,106,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138
BGD,Bangladesh,7204,7152,5483,4616,8061,11487,14644,12074,11753,16651,14819,16707,14705,12099,14645,13570,18723
BRB,Barbados,777,895,813,516,630,846,959,689,585,603,465,455,460,428,384,376,371
BLR,Belarus,2170,2901,2923,1858,2255,3503,3086,2328,2390,2407,2038,1964,1659,1970,2015,1994,2127
BEL,Belgium,670,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691
BLZ,Belize,757,936,966,588,871,876,1252,1073,1077,1041,965,905,847,946,789,772,851
BEN,Benin,62,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577
BMU,Bermuda,71,98,108,92,100,116,160,108,92,108,72,71,85,88,106,112,99
BTN,Bhutan,0,5,14,15,17,30,78,52,42,594,6109,10137,10198,8954,7298,6325,4217
BOL,Bolivia,1761,1819,1664,1376,1768,2197,4025,2590,2436,2837,2253,2173,1948,2071,1719,1626,1595
BIH,Bosnia and Herzegovina,11525,23594,25329,6155,10552,14074,3789,1569,1491,1501,946,878,815,697,693,859,971
BWA,Botswana,13,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78
BRA,Brazil,6943,9448,9439,6331,10556,16662,17903,14295,12195,14701,12258,11763,11441,11033,10429,11424,13812
BRN,Brunei Darussalam,16,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31
BGR,Bulgaria,4917,4400,3608,3825,4253,5635,4828,3981,2960,3133,2570,2661,2440,2844,2981,2688,2670
BFA,Burkina Faso,48,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642
BDI,Burundi,28,79,120,74,100,186,320,257,255,1505,841,593,535,260,273,351,415
KHM,Cambodia,2138,2462,2800,2263,3553,4022,5773,4246,3713,3771,2986,2745,2473,2624,2536,1868,3173
CMR,Cameroon,860,791,984,927,1309,1458,2919,3392,3771,3463,4161,4754,3815,3908,3943,4374,4899
CAN,Canada,16057,21752,19352,11350,15569,21878,18207,15495,15109,16140,13328,12800,12932,13181,11586,12673,12793
CPV,Cape Verde,1079,868,871,745,1015,1225,1780,2048,1916,2238,1668,1808,1684,1673,1154,1253,2242
CAF,Central African Republic,4,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202
TCD,Chad,23,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136
CHL,Chile,1700,1921,1839,1310,1810,2404,2774,2274,2017,2250,1950,1853,1673,1736,1581,1596,1698
CHN,China,45585,56267,61082,40568,55494,69933,87307,76655,80271,64238,70863,87016,81784,71798,76089,74558,81772
COL,Colombia,14427,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406,22635,20931,21131,18175,17316,18610
